0	kingdom	phylum	class	order	family	genus	species	subclass	superkingdom	x	y	species_name
ncbi51298	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis myotis		Eukaryota	-1.4199401	8.870492	Myotis myotis
ncbi51315		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria	Eimeria necatrix	Coccidia	Eukaryota	-2.7557805	1.375563	Eimeria necatrix
ncbi51337	Metazoa	Chordata	Mammalia	Rodentia	Dipodidae	Jaculus	Jaculus jaculus		Eukaryota	-2.2345605	13.345753	Jaculus jaculus
ncbi51338	Metazoa	Chordata	Mammalia	Rodentia	Castoridae	Castor	Castor canadensis		Eukaryota	1.6480916	9.911919	Castor canadensis
ncbi515849	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora anserina	Sordariomycetidae	Eukaryota	5.3982506	-3.7553782	Podospora anserina
ncbi51637		Heterolobosea			Vahlkampfiidae	Naegleria	Naegleria lovaniensis		Eukaryota	-8.289709	7.573087	Naegleria lovaniensis
ncbi51655	Metazoa	Arthropoda	Insecta	Lepidoptera	Plutellidae	Plutella	Plutella xylostella	Pterygota	Eukaryota	-0.010059237	8.803869	Plutella xylostella
ncbi516756	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea	Eufriesea mexicana	Pterygota	Eukaryota	-0.07790015	5.0944157	Eufriesea mexicana
ncbi51953	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Elaeis	Elaeis guineensis	Petrosaviidae	Eukaryota	15.619894	10.673093	Elaeis guineensis
ncbi520822	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Atta	Atta colombica	Pterygota	Eukaryota	0.8690274	6.064053	Atta colombica
ncbi52239	Metazoa	Chordata	Actinopteri	Perciformes	Channichthyidae	Pseudochaenichthys	Pseudochaenichthys georgianus	Neopterygii	Eukaryota	0.11909618	9.219422	Pseudochaenichthys georgianus
ncbi526221	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium alfalfae	Hypocreomycetidae	Eukaryota	8.485696	-6.537364	Verticillium alfalfae
ncbi52644	Metazoa	Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus leucocephalus		Eukaryota	-10.45809	6.070562	Haliaeetus leucocephalus
ncbi52670	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Rivulidae	Austrofundulus	Austrofundulus limnaeus	Neopterygii	Eukaryota	-10.227567	8.622805	Austrofundulus limnaeus
ncbi52904	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Scophthalmidae	Scophthalmus	Scophthalmus maximus	Neopterygii	Eukaryota	-2.3811386	15.67484	Scophthalmus maximus
ncbi5322	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus ostreatus	Agaricomycetidae	Eukaryota	3.5187871	-3.936837	Pleurotus ostreatus
ncbi535722	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Nannizzia	Nannizzia gypsea	Eurotiomycetidae	Eukaryota	3.4961894	-2.0845685	Nannizzia gypsea
ncbi54180	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus francoisi		Eukaryota	-3.1850667	15.218548	Trachypithecus francoisi
ncbi54343	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Etheostoma	Etheostoma spectabile	Neopterygii	Eukaryota	1.1546427	9.617146	Etheostoma spectabile
ncbi543639	Metazoa	Arthropoda	Arachnida	Ixodida	Ixodidae	Dermacentor	Dermacentor silvarum	Acari	Eukaryota	-1.4766814	3.4591274	Dermacentor silvarum
ncbi54374	Metazoa	Chordata	Aves	Mesitornithiformes	Mesitornithidae	Mesitornis	Mesitornis unicolor		Eukaryota	-8.3692045	7.496677	Mesitornis unicolor
ncbi54380	Metazoa	Chordata	Aves	Cariamiformes	Cariamidae	Cariama	Cariama cristata		Eukaryota	-8.425178	7.435327	Cariama cristata
ncbi54383	Metazoa	Chordata	Aves	Eurypygiformes	Eurypygidae	Eurypyga	Eurypyga helias		Eukaryota	-8.358193	7.4991245	Eurypyga helias
ncbi5454	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta	Ascochyta rabiei	Pleosporomycetidae	Eukaryota	7.3841877	-4.6445556	Ascochyta rabiei
ncbi5467	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum truncatum	Hypocreomycetidae	Eukaryota	8.193003	-5.996714	Colletotrichum truncatum
ncbi54757		Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei		Eukaryota	-3.4480736	3.0297046	Plasmodium vinckei
ncbi5478	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces glabratus		Eukaryota	0.90926355	0.4152203	Nakaseomyces glabratus
ncbi5480	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida parapsilosis		Eukaryota	1.5409139	-1.3447412	Candida parapsilosis
ncbi5481	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Diutina	Diutina rugosa		Eukaryota	0.8911796	0.21791139	Diutina rugosa
ncbi54955	Viridiplantae	Streptophyta	Magnoliopsida	Proteales	Proteaceae	Telopea	Telopea speciosissima		Eukaryota	15.659527	10.766882	Telopea speciosissima
ncbi55291	Metazoa	Chordata	Cladistia	Polypteriformes	Polypteridae	Polypterus	Polypterus senegalus		Eukaryota	1.635149	9.931974	Polypterus senegalus
ncbi554065	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella variabilis		Eukaryota	-0.1346093	5.210206	Chlorella variabilis
ncbi554155	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	Microsporum canis	Eurotiomycetidae	Eukaryota	3.4494357	-2.016445	Microsporum canis
ncbi55513	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	Pistacia	Pistacia vera		Eukaryota	15.431437	10.745646	Pistacia vera
ncbi55577	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea cayenensis	Petrosaviidae	Eukaryota	15.530264	10.749446	Dioscorea cayenensis
ncbi556484		Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	Phaeodactylum tricornutum		Eukaryota	0.19153865	1.7804174	Phaeodactylum tricornutum
ncbi55661	Metazoa	Chordata	Aves	Cuculiformes	Cuculidae	Cuculus	Cuculus canorus		Eukaryota	-10.41785	6.1000395	Cuculus canorus
ncbi559292	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae		Eukaryota	0.39854005	1.5800928	Saccharomyces cerevisiae
ncbi559295	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea thermotolerans		Eukaryota	0.99840564	0.32223764	Lachancea thermotolerans
ncbi559298	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces gilchristii	Eurotiomycetidae	Eukaryota	3.3883107	-1.9990747	Blastomyces gilchristii
ncbi559305	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton rubrum	Eurotiomycetidae	Eukaryota	3.462952	-2.0488265	Trichophyton rubrum
ncbi5599	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	Pleosporomycetidae	Eukaryota	7.337574	-4.5698667	Alternaria alternata
ncbi560253	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia	Letharia lupina	Lecanoromycetidae	Eukaryota	3.748478	-2.3304505	Letharia lupina
ncbi561572	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Frieseomelitta	Frieseomelitta varia	Pterygota	Eukaryota	0.92383164	6.216923	Frieseomelitta varia
ncbi56313	Metazoa	Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba		Eukaryota	3.1945674	5.7588167	Tyto alba
ncbi563466	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	Scedosporium apiospermum	Hypocreomycetidae	Eukaryota	5.2559543	-3.6860962	Scedosporium apiospermum
ncbi564608	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		Eukaryota	-2.8040354	2.7716627	Micromonas pusilla
ncbi5661		Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania donovani	Metakinetoplastina	Eukaryota	-2.6511164	2.6272492	Leishmania donovani
ncbi56646	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium venenatum	Hypocreomycetidae	Eukaryota	8.355267	-6.440938	Fusarium venenatum
ncbi56716	Metazoa	Chordata	Actinopteri	Perciformes	Bovichtidae	Cottoperca	Cottoperca gobio	Neopterygii	Eukaryota	-10.441795	7.6468434	Cottoperca gobio
ncbi56723	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	Labrus	Labrus bergylta	Neopterygii	Eukaryota	-10.194575	7.879304	Labrus bergylta
ncbi5679		Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania panamensis	Metakinetoplastina	Eukaryota	-2.724269	1.3364632	Leishmania panamensis
